date,tactic,state,campaign,impression,clicks,spend,attributed_revenue
2025-06-20,Search,FL,TIK_Camp_5,14161,97,118.86,306.46
2025-06-20,Video,IL,TIK_Camp_1,11763,319,529.37,1126.89
2025-06-20,Display,TX,TIK_Camp_2,1877,28,34.28,62.48
2025-06-20,Shopping,TX,TIK_Camp_2,9613,193,186.05,430.12
2025-06-21,Video,NY,TIK_Camp_3,7520,135,123.35,199.58
2025-06-21,Search,FL,TIK_Camp_4,10205,602,1010.39,2375.08
2025-06-21,Search,NY,TIK_Camp_2,17956,929,1768.82,3445.52
2025-06-22,Social,NY,TIK_Camp_6,9963,317,160.62,202.04
2025-06-22,Display,CA,TIK_Camp_4,8795,189,243.98,265.07
2025-06-23,Search,FL,TIK_Camp_3,5951,220,491.48,515.57
2025-06-23,Video,TX,TIK_Camp_1,15394,424,576.92,413.6
2025-06-23,Shopping,TX,TIK_Camp_2,5022,276,510.52,1040.83
2025-06-23,Search,NY,TIK_Camp_4,16823,523,568.98,1663.37
2025-06-24,Social,NY,TIK_Camp_2,6755,59,86.4,143.38
2025-06-24,Shopping,IL,TIK_Camp_7,4317,153,49.82,146.23
2025-06-25,Social,FL,TIK_Camp_1,4057,207,351.26,742.79
2025-06-25,Shopping,FL,TIK_Camp_4,16155,945,626.76,452.49
2025-06-25,Shopping,IL,TIK_Camp_3,15017,358,885.22,1607.59
2025-06-25,Search,FL,TIK_Camp_2,14833,653,1608.04,1311.2
2025-06-26,Shopping,NY,TIK_Camp_7,4149,62,18.01,13.51
2025-06-26,Video,FL,TIK_Camp_1,3526,97,228.18,399.6
2025-06-27,Search,FL,TIK_Camp_1,17012,797,1796.92,3046.74
2025-06-27,Display,TX,TIK_Camp_2,16979,448,1004.0,2767.07
2025-06-27,Search,FL,TIK_Camp_5,5175,299,409.81,713.68
2025-06-28,Search,CA,TIK_Camp_5,14841,338,807.8,2095.74
2025-06-28,Search,IL,TIK_Camp_5,18794,942,1038.29,1795.59
2025-06-29,Video,IL,TIK_Camp_5,15390,139,64.68,174.65
2025-06-29,Video,NY,TIK_Camp_5,6616,364,77.98,199.99
2025-06-29,Social,TX,TIK_Camp_2,17698,611,142.15,183.74
2025-06-30,Shopping,FL,TIK_Camp_5,9949,344,490.77,801.42
2025-06-30,Video,IL,TIK_Camp_6,8837,286,454.01,555.12
2025-07-01,Video,CA,TIK_Camp_2,18106,699,736.21,1822.82
2025-07-01,Video,TX,TIK_Camp_1,15606,105,102.11,192.16
2025-07-01,Display,TX,TIK_Camp_5,18483,809,510.69,1239.13
2025-07-02,Video,FL,TIK_Camp_6,13390,443,542.54,1586.4
2025-07-02,Display,FL,TIK_Camp_2,17378,220,332.02,895.24
2025-07-02,Video,TX,TIK_Camp_2,16867,509,563.62,1518.53
2025-07-02,Search,FL,TIK_Camp_2,19820,659,1177.82,3093.11
2025-07-03,Social,CA,TIK_Camp_3,10365,203,96.41,118.56
2025-07-03,Social,FL,TIK_Camp_1,6470,207,194.1,221.7
2025-07-03,Search,FL,TIK_Camp_7,15993,765,1072.33,2331.63
2025-07-04,Display,NY,TIK_Camp_6,18886,977,1051.3,1935.34
2025-07-04,Display,IL,TIK_Camp_6,13601,276,306.21,698.32
2025-07-04,Shopping,CA,TIK_Camp_2,19645,829,392.74,337.18
2025-07-04,Search,FL,TIK_Camp_7,10484,366,178.97,244.54
2025-07-05,Shopping,FL,TIK_Camp_3,17708,792,171.87,321.57
2025-07-05,Video,FL,TIK_Camp_3,14794,725,547.97,469.33
2025-07-05,Search,FL,TIK_Camp_1,12559,125,239.65,174.7
2025-07-06,Social,FL,TIK_Camp_3,19256,839,186.76,306.5
2025-07-06,Social,NY,TIK_Camp_3,11713,344,177.24,475.55
2025-07-07,Shopping,NY,TIK_Camp_4,12814,101,44.46,89.31
2025-07-07,Display,TX,TIK_Camp_1,4407,160,32.76,42.58
2025-07-08,Video,IL,TIK_Camp_7,3164,114,188.44,356.74
2025-07-08,Display,NY,TIK_Camp_7,6185,347,168.85,371.59
2025-07-08,Shopping,TX,TIK_Camp_1,7539,92,214.71,578.8
2025-07-09,Social,CA,TIK_Camp_6,18573,918,1804.66,1736.3
2025-07-09,Shopping,IL,TIK_Camp_5,6408,193,273.29,212.91
2025-07-09,Social,NY,TIK_Camp_6,13018,274,398.53,401.26
2025-07-10,Shopping,CA,TIK_Camp_1,18205,676,894.79,1705.16
2025-07-10,Video,NY,TIK_Camp_3,14403,759,1597.56,3418.66
2025-07-10,Video,IL,TIK_Camp_5,1922,32,39.14,108.36
2025-07-10,Video,CA,TIK_Camp_7,7881,459,571.01,1065.56
2025-07-11,Shopping,FL,TIK_Camp_6,5732,82,98.77,174.55
2025-07-11,Display,TX,TIK_Camp_3,7240,433,161.25,195.58
2025-07-12,Social,CA,TIK_Camp_7,5433,289,399.61,775.3
2025-07-12,Display,FL,TIK_Camp_1,8210,239,69.76,106.96
2025-07-12,Shopping,NY,TIK_Camp_5,4007,201,437.01,771.9
2025-07-12,Search,TX,TIK_Camp_2,16011,542,190.74,560.19
2025-07-13,Social,NY,TIK_Camp_5,15553,661,1138.99,2671.21
2025-07-13,Shopping,TX,TIK_Camp_5,1122,11,2.5,2.55
2025-07-13,Search,TX,TIK_Camp_5,17821,811,1096.79,2212.61
2025-07-14,Shopping,FL,TIK_Camp_5,16167,377,295.87,636.54
2025-07-14,Display,NY,TIK_Camp_2,12565,365,360.44,705.34
2025-07-15,Search,IL,TIK_Camp_6,13067,200,124.75,103.68
2025-07-15,Search,CA,TIK_Camp_6,5507,60,39.99,119.82
2025-07-16,Video,FL,TIK_Camp_7,5698,114,29.78,71.2
2025-07-16,Search,TX,TIK_Camp_4,1726,73,164.55,376.11
2025-07-17,Display,FL,TIK_Camp_6,11776,550,893.98,784.96
2025-07-17,Display,NY,TIK_Camp_1,14436,717,1097.83,2329.66
2025-07-17,Social,CA,TIK_Camp_2,14393,732,241.04,583.15
2025-07-18,Video,TX,TIK_Camp_1,7016,47,112.52,133.09
2025-07-18,Display,TX,TIK_Camp_6,14247,458,1055.29,1252.57
2025-07-19,Display,TX,TIK_Camp_1,16566,225,398.67,823.44
2025-07-19,Display,CA,TIK_Camp_4,18706,1048,608.33,429.08
2025-07-19,Search,NY,TIK_Camp_2,11417,411,320.72,899.67
2025-07-19,Social,FL,TIK_Camp_1,17559,721,1648.25,1793.5
2025-07-20,Social,CA,TIK_Camp_5,19207,811,724.75,821.21
2025-07-20,Video,TX,TIK_Camp_7,2752,91,125.63,118.92
2025-07-20,Social,IL,TIK_Camp_5,6491,332,482.55,434.1
2025-07-21,Social,IL,TIK_Camp_2,18871,775,1112.69,2511.77
2025-07-21,Search,CA,TIK_Camp_6,9793,294,661.28,1329.07
2025-07-21,Display,TX,TIK_Camp_5,1237,37,65.75,80.24
2025-07-22,Social,IL,TIK_Camp_3,12560,602,1380.66,2182.16
2025-07-22,Display,TX,TIK_Camp_7,6131,135,263.64,752.22
2025-07-22,Display,CA,TIK_Camp_1,14100,256,418.68,749.59
2025-07-23,Display,IL,TIK_Camp_1,10244,407,756.38,976.83
2025-07-23,Video,TX,TIK_Camp_7,4932,105,131.55,121.0
2025-07-23,Social,NY,TIK_Camp_3,14161,154,36.79,102.72
2025-07-24,Social,NY,TIK_Camp_1,16043,445,783.84,975.59
2025-07-24,Search,TX,TIK_Camp_4,11116,138,337.84,985.82
2025-07-25,Search,NY,TIK_Camp_2,19635,942,629.86,818.52
2025-07-25,Search,NY,TIK_Camp_2,2560,112,255.81,260.1
2025-07-25,Display,IL,TIK_Camp_5,1808,74,138.62,347.79
2025-07-26,Search,NY,TIK_Camp_5,9249,78,125.24,371.03
2025-07-26,Shopping,TX,TIK_Camp_5,15621,138,142.35,274.74
2025-07-26,Display,CA,TIK_Camp_2,17696,882,1052.89,2665.6
2025-07-27,Display,IL,TIK_Camp_4,3032,134,103.48,289.07
2025-07-27,Display,TX,TIK_Camp_4,1615,10,16.81,22.48
2025-07-27,Search,TX,TIK_Camp_7,19812,447,609.66,654.64
2025-07-28,Display,TX,TIK_Camp_3,7986,374,198.56,142.93
2025-07-28,Search,TX,TIK_Camp_6,11111,177,340.95,824.0
2025-07-29,Social,IL,TIK_Camp_3,8776,156,322.96,663.16
2025-07-29,Shopping,FL,TIK_Camp_2,7875,69,105.56,218.99
2025-07-30,Display,IL,TIK_Camp_3,16126,127,230.2,190.65
2025-07-30,Display,NY,TIK_Camp_7,18136,655,1512.09,3843.55
2025-07-31,Display,NY,TIK_Camp_1,18479,721,279.65,335.79
2025-07-31,Display,CA,TIK_Camp_7,10867,431,624.42,622.91
2025-07-31,Social,NY,TIK_Camp_5,14012,414,823.6,994.15
2025-07-31,Video,NY,TIK_Camp_1,14068,792,1857.23,1835.0
2025-08-01,Search,FL,TIK_Camp_6,16791,666,1228.28,2074.13
2025-08-01,Video,FL,TIK_Camp_4,14122,261,482.95,1200.95
2025-08-01,Shopping,TX,TIK_Camp_7,19460,1052,400.65,585.39
2025-08-01,Social,NY,TIK_Camp_6,1355,81,165.34,437.32
2025-08-02,Display,NY,TIK_Camp_3,6839,364,881.21,1309.14
2025-08-02,Search,CA,TIK_Camp_6,2906,79,193.91,425.68
2025-08-03,Search,IL,TIK_Camp_3,16193,881,1440.09,1451.98
2025-08-03,Social,IL,TIK_Camp_3,8529,107,149.43,117.36
2025-08-04,Social,NY,TIK_Camp_7,13666,134,315.43,819.72
2025-08-04,Video,TX,TIK_Camp_6,3262,168,145.33,420.03
2025-08-05,Social,FL,TIK_Camp_2,4998,183,308.14,227.72
2025-08-05,Display,IL,TIK_Camp_7,14654,281,509.49,373.49
2025-08-06,Social,NY,TIK_Camp_2,3739,130,163.41,301.92
2025-08-06,Video,CA,TIK_Camp_1,4457,209,142.84,206.25
2025-08-07,Video,TX,TIK_Camp_3,5868,310,499.15,529.88
2025-08-07,Video,FL,TIK_Camp_4,3017,119,93.1,237.26
2025-08-08,Display,FL,TIK_Camp_4,2438,39,73.73,198.54
2025-08-08,Search,FL,TIK_Camp_4,14809,286,252.5,177.11
2025-08-09,Social,CA,TIK_Camp_2,11929,468,476.87,1199.09
2025-08-09,Search,NY,TIK_Camp_7,8492,152,279.9,758.38
2025-08-10,Display,NY,TIK_Camp_4,4161,30,25.95,45.1
2025-08-10,Shopping,CA,TIK_Camp_5,12926,671,1031.35,909.17
2025-08-10,Shopping,NY,TIK_Camp_7,3233,111,122.84,325.63
2025-08-10,Search,IL,TIK_Camp_7,15781,813,1718.25,2797.48
2025-08-11,Social,CA,TIK_Camp_1,10746,194,393.06,714.94
2025-08-11,Search,TX,TIK_Camp_4,6972,75,149.28,163.05
2025-08-11,Display,TX,TIK_Camp_2,11255,397,404.97,700.11
2025-08-12,Social,IL,TIK_Camp_1,16493,497,967.61,1135.75
2025-08-12,Search,IL,TIK_Camp_5,16269,456,904.93,1338.47
2025-08-13,Display,TX,TIK_Camp_5,11702,356,741.22,1683.79
2025-08-13,Shopping,TX,TIK_Camp_7,10951,162,216.1,192.0
2025-08-13,Video,FL,TIK_Camp_1,9529,114,262.63,481.97
2025-08-14,Search,FL,TIK_Camp_2,6021,67,14.0,41.98
2025-08-14,Shopping,IL,TIK_Camp_6,13886,157,243.77,544.59
2025-08-14,Display,TX,TIK_Camp_2,4435,26,11.32,18.61
2025-08-15,Shopping,NY,TIK_Camp_3,3971,98,44.03,119.53
2025-08-15,Video,TX,TIK_Camp_7,16357,542,715.96,1530.52
2025-08-15,Video,CA,TIK_Camp_7,12723,184,343.53,639.76
2025-08-16,Social,FL,TIK_Camp_2,12434,743,1286.13,2360.05
2025-08-16,Search,CA,TIK_Camp_2,18558,472,370.86,676.67
2025-08-17,Search,CA,TIK_Camp_3,13388,545,488.34,858.48
2025-08-17,Social,FL,TIK_Camp_3,8262,273,385.51,767.81
2025-08-17,Social,FL,TIK_Camp_5,2857,64,100.16,118.52
2025-08-17,Video,NY,TIK_Camp_6,6072,35,35.99,32.63
2025-08-18,Search,NY,TIK_Camp_6,2313,138,28.29,61.36
2025-08-18,Shopping,NY,TIK_Camp_4,6432,370,593.9,417.46
2025-08-19,Display,FL,TIK_Camp_6,13962,659,1536.35,2784.62
2025-08-19,Shopping,CA,TIK_Camp_2,19549,230,258.11,388.88
2025-08-19,Shopping,NY,TIK_Camp_1,5381,180,270.22,198.67
2025-08-19,Shopping,NY,TIK_Camp_7,3983,61,63.65,60.04
2025-08-20,Social,IL,TIK_Camp_4,6609,316,346.83,704.31
2025-08-20,Social,TX,TIK_Camp_3,14163,206,220.63,582.29
2025-08-20,Search,TX,TIK_Camp_3,2724,45,31.88,75.78
2025-08-21,Search,TX,TIK_Camp_1,5911,90,20.18,18.37
2025-08-21,Social,TX,TIK_Camp_7,19550,406,387.25,374.04
2025-08-21,Video,TX,TIK_Camp_3,1212,50,123.94,338.42
2025-08-22,Video,TX,TIK_Camp_1,14777,758,1024.83,3030.7
2025-08-22,Shopping,CA,TIK_Camp_4,12484,708,1234.04,2749.66
2025-08-23,Social,IL,TIK_Camp_2,17619,720,567.38,872.92
2025-08-23,Shopping,CA,TIK_Camp_3,15490,130,140.8,242.49
2025-08-23,Video,NY,TIK_Camp_6,16111,937,1161.97,1194.98
2025-08-24,Display,TX,TIK_Camp_7,15772,939,1696.0,2333.23
2025-08-24,Video,FL,TIK_Camp_7,3722,177,191.06,328.47
2025-08-24,Social,IL,TIK_Camp_2,8246,408,421.08,802.49
2025-08-24,Shopping,IL,TIK_Camp_1,2824,159,296.4,600.96
2025-08-25,Display,CA,TIK_Camp_6,12384,307,115.57,194.21
2025-08-25,Search,CA,TIK_Camp_1,9424,258,328.53,269.8
2025-08-25,Search,FL,TIK_Camp_3,2469,85,116.45,146.63
2025-08-26,Video,FL,TIK_Camp_6,1779,33,55.57,122.1
2025-08-26,Display,IL,TIK_Camp_4,14391,759,874.75,2016.38
2025-08-27,Display,CA,TIK_Camp_7,9587,53,28.74,71.4
2025-08-27,Social,CA,TIK_Camp_1,13641,777,1359.21,1154.33
2025-08-27,Search,FL,TIK_Camp_2,7284,288,227.78,578.98
2025-08-27,Video,CA,TIK_Camp_2,14451,561,360.83,755.83
2025-08-28,Shopping,IL,TIK_Camp_7,11860,599,1453.23,3991.48
2025-08-28,Video,IL,TIK_Camp_4,4370,28,21.48,37.74
2025-08-29,Video,CA,TIK_Camp_5,4190,151,60.81,100.42
2025-08-29,Social,NY,TIK_Camp_6,19768,1175,986.0,1819.99
2025-08-29,Video,IL,TIK_Camp_5,11874,579,892.27,2595.17
2025-08-29,Search,CA,TIK_Camp_5,5712,263,178.59,209.31
2025-08-30,Display,FL,TIK_Camp_2,5491,261,493.57,1250.64
2025-08-30,Shopping,NY,TIK_Camp_3,12426,291,450.91,422.36
2025-08-30,Video,FL,TIK_Camp_1,11218,211,280.39,244.98
2025-08-30,Video,FL,TIK_Camp_5,15984,918,2029.32,4724.79
2025-08-31,Search,TX,TIK_Camp_6,5134,66,164.92,351.52
2025-08-31,Search,IL,TIK_Camp_6,2963,151,376.41,636.05
2025-08-31,Social,CA,TIK_Camp_3,12258,88,87.89,115.14
2025-08-31,Video,TX,TIK_Camp_3,16753,532,965.76,2568.47
2025-09-01,Video,CA,TIK_Camp_3,19608,924,1583.08,4108.03
2025-09-01,Social,IL,TIK_Camp_6,18070,1009,1401.91,1358.8
2025-09-01,Display,FL,TIK_Camp_3,11833,293,332.08,973.66
2025-09-02,Search,CA,TIK_Camp_7,10727,475,754.64,1047.09
2025-09-02,Display,CA,TIK_Camp_4,17676,954,1093.34,1130.53
2025-09-02,Search,FL,TIK_Camp_5,15429,592,1457.38,3839.54
2025-09-02,Video,NY,TIK_Camp_3,5542,115,171.02,229.59
2025-09-03,Shopping,IL,TIK_Camp_7,5439,261,559.76,1420.61
2025-09-03,Shopping,NY,TIK_Camp_7,11766,406,769.62,1649.16
2025-09-04,Shopping,IL,TIK_Camp_7,8756,480,901.67,2156.4
2025-09-04,Video,IL,TIK_Camp_2,13229,72,26.89,34.31
2025-09-05,Shopping,IL,TIK_Camp_7,4777,183,115.94,295.81
2025-09-05,Video,NY,TIK_Camp_4,7941,255,101.51,201.6
2025-09-05,Search,FL,TIK_Camp_2,17475,808,751.25,1361.67
2025-09-05,Shopping,FL,TIK_Camp_3,19897,127,108.71,214.61
2025-09-06,Shopping,FL,TIK_Camp_2,5916,222,354.77,577.47
2025-09-06,Social,CA,TIK_Camp_4,18100,743,731.59,1769.92
2025-09-07,Social,IL,TIK_Camp_4,16184,150,273.85,771.19
2025-09-07,Social,NY,TIK_Camp_4,1519,55,122.54,351.25
2025-09-07,Display,IL,TIK_Camp_2,6781,186,238.57,193.97
2025-09-08,Search,TX,TIK_Camp_1,10599,156,280.61,594.15
2025-09-08,Search,IL,TIK_Camp_7,7605,50,98.45,273.14
2025-09-08,Display,TX,TIK_Camp_1,2875,47,65.63,117.6
2025-09-08,Video,NY,TIK_Camp_4,7597,413,825.36,948.61
2025-09-09,Search,IL,TIK_Camp_5,18188,127,55.15,131.01
2025-09-09,Video,NY,TIK_Camp_7,13231,594,273.5,447.07
2025-09-10,Display,NY,TIK_Camp_4,9493,137,281.95,646.69
2025-09-10,Display,CA,TIK_Camp_7,6574,181,93.81,209.31
2025-09-11,Video,TX,TIK_Camp_1,6406,238,94.35,163.65
2025-09-11,Social,NY,TIK_Camp_7,12586,125,168.04,219.31
2025-09-11,Social,CA,TIK_Camp_6,14368,750,303.13,815.26
2025-09-12,Video,CA,TIK_Camp_4,10258,193,180.9,182.79
2025-09-12,Social,FL,TIK_Camp_2,3514,84,161.01,443.59
2025-09-12,Social,IL,TIK_Camp_6,12345,599,504.38,1102.9
2025-09-13,Display,NY,TIK_Camp_4,15174,552,881.65,1678.01
2025-09-13,Shopping,IL,TIK_Camp_6,10965,582,1123.49,832.04
2025-09-13,Video,FL,TIK_Camp_1,17057,461,407.53,924.26
2025-09-13,Display,NY,TIK_Camp_2,4258,209,241.42,326.44
2025-09-14,Social,TX,TIK_Camp_1,1055,40,43.19,60.48
2025-09-14,Shopping,TX,TIK_Camp_1,16893,511,1063.55,3019.23
2025-09-14,Display,FL,TIK_Camp_4,19299,1055,450.12,555.35
2025-09-14,Shopping,CA,TIK_Camp_2,17682,100,55.41,128.68
